     60 212.122.173.146     Великотърновски университет
      1 193.192.57.82       Нова Камена
      1 193.192.57.82       Национална гимназия за древни езици и култури
      1 193.192.57.82       Крислово
      1 193.192.57.82       Компресиране на данни
      1 193.192.57.82       Искрица
      1 193.192.57.82       Имамбаялдъ
      1 193.192.57.82       Древен Рим
      1 193.192.57.82       Димитър
      1 193.192.57.82       Дефектнотокова защита
      1 193.192.57.82       Глория
      1 193.192.57.82       Георги Раковски
      1 193.192.57.82       Великите българи
      1 193.192.57.82       Брястовец
      1 193.192.57.81       Ухо
      1 193.192.57.81       Николай Лилиев
      1 193.192.57.81       Национална гимназия за древни езици и култури
      1 193.192.57.81       Мъжки национален отбор по волейбол на България
      1 193.192.57.81       Модна фотография
      1 193.192.57.81       Лупа
      1 193.192.57.81       Лупа
      1 193.192.57.81       Лупа
      1 193.192.57.81       Константин (село)
      1 193.192.57.81       Компютърна мрежа
      1 193.192.57.81       Киселинен дъжд
      1 193.192.57.81       Женени с деца
      1 193.192.57.81       Дрен (Област Перник)
      1 193.192.57.81       Древен Рим
      1 193.192.57.81       Джавахарлал Неру
      1 193.192.57.81       Джавахарлал Неру
      1 193.192.57.81       Галактика
      1 193.192.57.81       Алиса в Огледалния свят
      1 193.192.57.81       Александър Пушкин
      1 193.192.57.80       Шопи
      1 193.192.57.80       Ферари
      1 193.192.57.80       Уикипедия:Заявки към администраторите/2012/20
      1 193.192.57.80       Софроний Врачански
      1 193.192.57.80       Смолвил (сериал)
      1 193.192.57.80       Размножаване
      1 193.192.57.80       Пудрия
      1 193.192.57.80       Потребител беседа:ShadeOfGrey
      1 193.192.57.80       Национална баскетболна асоциация
      1 193.192.57.80       Ку-клукс-клан
      1 193.192.57.80       Иван
      1 193.192.57.80       Земетресение в Аржентина (2010)
      1 193.192.57.80       Дрен (Област Перник)
      1 193.192.57.80       Древен Рим
      1 193.192.57.80       Домашен арест (сериал)
      1 193.192.57.80       Горнотракийска низина
      1 193.192.57.80       Волфганг Амадеус Моцарт
      1 193.192.57.80       Винарово (Област Видин)
      1 193.192.57.80       Беседа:Начална страница
      1 193.192.57.80       Беседа:Дубай
      1 193.192.57.80       Александър Цанков
      1 193.192.57.80       Азис
      1 193.192.57.80       Адриан (император)
      1 193.192.57.80       World of Warcraft: Wrath of the Lich King
      1 193.192.57.79       У.А.С.П.
      1 193.192.57.79       СОУ „Христо Смирненски“ (Стара Загора)
      1 193.192.57.79       Пудрия
      1 193.192.57.79       Парников ефект
      1 193.192.57.79       Очила
      1 193.192.57.79       Нова телевизия
      1 193.192.57.79       Нова Камена
      1 193.192.57.79       Национална търговско-банкова гимназия
      1 193.192.57.79       Лупа
      1 193.192.57.79       Лупа
      1 193.192.57.79       Кунг-фу панда 2
      1 193.192.57.79       Ерма река
      1 193.192.57.79       Енисей
      1 193.192.57.79       Електронна поща
      1 193.192.57.79       Дом на инвалидите
      1 193.192.57.79       Ден на народните будители
      1 193.192.57.79       ГЕРБ
      1 193.192.57.79       Галактика
      1 193.192.57.79       Васил Левски
      1 193.192.57.79       Васил Левски
      1 193.192.57.79       Брястовец
      1 193.192.57.79       Брест (Област Плевен)
      1 193.192.57.79       Беседа:Велики Преслав
      1 193.192.57.79       Акумулираща горивна система с високо налягане
